game_id,voice_id,text,vocoder,out_path,pacing
skyrim,sk_femalesultry,That's the kind of man I lyke to see.. dead.,hifi,./femalesultry/BDBAvernaDialogue__00036134_1.wav,1
skyrim,sk_femalesultry,"Hello, Gorgeous, you are dead. And that means I can do whatever I want with you.",hifi,./femalesultry/BDBAvernaDialogue__00036133_1.wav,1
skyrim,sk_malenord,"Now just last week I was talking to Frank about the Forsworn uprising, they say the king...",hifi,./malenord/BDBQ03B__00036131_1.wav,1
skyrim,sk_femaleargonian,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femaleargonian/BDBQ03A__00036126_1.wav,1
skyrim,sk_femalecommander,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femalecommander/BDBQ03A__00036126_1.wav,1
skyrim,sk_femalecommoner,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femalecommoner/BDBQ03A__00036126_1.wav,1
skyrim,sk_femalecondescending,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femalecondescending/BDBQ03A__00036126_1.wav,1
skyrim,sk_femalecoward,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femalecoward/BDBQ03A__00036126_1.wav,1
skyrim,sk_femaledarkelf,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femaledarkelf/BDBQ03A__00036126_1.wav,1
skyrim,sk_femaledarkelfcommoner,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./DLC2FemaleDarkElfCommoner/BDBQ03A__00036126_1.wav,1
skyrim,sk_femaleelfhaughty,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femaleelfhaughty/BDBQ03A__00036126_1.wav,1
skyrim,sk_femaleeventoned,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femaleeventoned/BDBQ03A__00036126_1.wav,1
skyrim,sk_femalekhajiit,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femalekhajiit/BDBQ03A__00036126_1.wav,1
skyrim,sk_femalenord,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femalenord/BDBQ03A__00036126_1.wav,1
skyrim,sk_femaleoldgrumpy,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femaleoldgrumpy/BDBQ03A__00036126_1.wav,1
skyrim,sk_femaleoldkindly,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femaleoldkindly/BDBQ03A__00036126_1.wav,1
skyrim,sk_femaleorc,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femaleorc/BDBQ03A__00036126_1.wav,1
skyrim,sk_femaleshrill,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femaleshrill/BDBQ03A__00036126_1.wav,1
skyrim,sk_femalesultry,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femalesultry/BDBQ03A__00036126_1.wav,1
skyrim,sk_femalevampire,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./DLC1FemaleVampire/BDBQ03A__00036126_1.wav,1
skyrim,sk_femaleyoungeager,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./femaleyoungeager/BDBQ03A__00036126_1.wav,1
skyrim,sk_maleargonian,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./maleargonian/BDBQ03A__00036126_1.wav,1
skyrim,sk_malebandit,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./malebandit/BDBQ03A__00036126_1.wav,1
skyrim,sk_malebrute,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./malebrute/BDBQ03A__00036126_1.wav,1
skyrim,sk_malecommander,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./malecommander/BDBQ03A__00036126_1.wav,1
skyrim,sk_malecommoner,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./malecommoner/BDBQ03A__00036126_1.wav,1
skyrim,sk_malecommoneraccented,"Don't you tell me I'm right, i've been.... wait, you agree?",hifi,./malecommoneraccented/BDBQ03A__00036126_1.wav,1
